OCC_CLS,PRIM_OCC,PROP_ADDR,PROP_CITY,PROP_ST,PROP_ZIP,LONGITUDE,LATITUDE
Residential,Single Family Dwelling,40 VAN WYCK DRIVE,POUGHKEEPSIE,New York,12601,-73.90764388,41.72773253
Residential,Manufactured Home,1 VISTA LANE,POUGHKEEPSIE,New York,12603,-73.89118959,41.72760528
Residential,Single Family Dwelling,24 WALDORF PLACE,POUGHKEEPSIE,New York,12601,-73.92003909,41.72787567
Residential,Single Family Dwelling,43 VAN WYCK DRIVE,POUGHKEEPSIE,New York,12601,-73.90819498,41.72775729
Education,Colleges/Universities,91 COTTAGE ROAD,POUGHKEEPSIE,New York,12601,-73.90688383,41.72776731
Residential,Manufactured Home,16 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89261615,41.72758524
Residential,Manufactured Home,45 GABLES BOULEVARD,POUGHKEEPSIE,New York,12603,-73.89162258,41.72763144
Residential,Manufactured Home,4 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89456824,41.72761677
Residential,Single Family Dwelling,2 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91667166,41.72786338
Residential,Single Family Dwelling,32 PETER COOPER DRIVE,POUGHKEEPSIE,New York,12601,-73.90920419,41.7277951
Residential,Single Family Dwelling,22 WALDORF PLACE,POUGHKEEPSIE,New York,12601,-73.91968133,41.72790882
Residential,Manufactured Home,14 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.8924266,41.72761516
Residential,Single Family Dwelling,31 PETER COOPER DRIVE,POUGHKEEPSIE,New York,12601,-73.90971558,41.72782553
Residential,Single Family Dwelling,4 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91634917,41.72789279
Residential,Single Family Dwelling,1306 ROUTE 44,POUGHKEEPSIE,New York,12603,-73.84021148,41.72716085
Residential,Manufactured Home,12 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89217516,41.72767023
Residential,Single Family Dwelling,6 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91591141,41.72793372
Residential,Single Family Dwelling,196 VIOLET AVENUE,POUGHKEEPSIE,New York,12601,-73.91044209,41.72785741
Residential,Manufactured Home,67 VERO DRIVE,POUGHKEEPSIE,New York,12603,-73.89651715,41.72775485
Residential,Manufactured Home,2 VISTA LANE,POUGHKEEPSIE,New York,12603,-73.89058769,41.72770965
Residential,Single Family Dwelling,29 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91279829,41.72791037
Residential,Manufactured Home,6 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89435178,41.72771533
Residential,Single Family Dwelling,8 HAWK LANE,POUGHKEEPSIE,New York,12601,-73.91557878,41.72796443
Residential,Manufactured Home,5 NAPLES DRIVE,POUGHKEEPSIE,New York,12603,-73.89522165,41.7277378
Education,Colleges/Universities,129 JOHN WINSLOW DRIVE,POUGHKEEPSIE,New York,12601,-73.93435236,41.72812384
Residential,Manufactured Home,3 VISTA LANE,POUGHKEEPSIE,New York,12603,-73.89120225,41.7277749
Residential,Single Family Dwelling,42 VAN WYCK DRIVE,POUGHKEEPSIE,New York,12601,-73.90768075,41.72791149
Residential,Single Family Dwelling,68 STRATFORD DRIVE,POUGHKEEPSIE,New York,12603,-73.84613093,41.72727472
